hour_of_day,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
0,259259,4277609.929999506,3927610.299999994,867288.4100000001,15.149369163654855,3.3452586409729275,16.49936908651004,0.22081834595453664,1.0891126163915785
1,188641,2986591.3599993703,2863651.0333333355,600525.619999998,15.180427549330927,3.183431067477367,15.83214338346049,0.20970628509192918,1.0429313227187917
2,142073,2191263.489999631,2177017.699999994,443468.7600000006,15.323233126632042,3.1214147656486495,15.42350404369325,0.20370471034755563,1.006543718041262
3,102587,1641999.2599997914,1528718.3833333321,343686.6700000001,14.901677438011951,3.350197100997203,16.005919463477746,0.22482013282956664,1.0741018606837534
4,79349,1442820.4999999125,1266511.6666666672,321464.24999999977,15.961280755481067,4.051270337370348,18.183222220820834,0.25381862517386966,1.1392082189004011
5,86213,1654865.8399998934,1306786.4999999988,371493.5100000011,15.15765023836311,4.309019637409684,19.19508473199974,0.2842801865492194,1.2663628220829455
6,196989,2983422.349999337,2747263.349999998,625414.0799999998,13.946277964759444,3.1748680383168595,15.14512155500732,0.2276498465281824,1.0859615442397754
7,335644,4792963.979999641,5134457.616666673,896120.2499999998,15.297331746334429,2.669853326739044,14.279903647911599,0.17453065482343344,0.9334898323907614
8,418282,5988819.730001162,6529072.41666668,1005161.0299999998,15.609259821523947,2.403070249257677,14.317660645213424,0.15395158237702158,0.9172542970596524
9,420035,6128045.81000105,6573011.550000018,1017115.3999999976,15.6487234397134,2.4215015415381993,14.589369481117169,0.1547411551406744,0.9323041292999147
10,405821,5955326.340000681,6363753.683333326,1010411.9899999985,15.681183781355145,2.4897972012291096,14.674761384947256,0.15877609981138457,0.9358197435575929
11,418555,6076489.09000097,6565714.599999991,1205465.6900000016,15.686623263370384,2.880065200511287,14.517779240484453,0.1836000745448185,0.9254878501726193
12,447071,6646253.030001805,7038734.599999975,1134433.0799999982,15.744109101238898,2.5374785660443155,14.86621371102533,0.16117003189749507,0.9442397544015694
13,449492,6892589.300002157,7268146.149999974,1210561.5400000007,16.169689671896215,2.6931770532067327,15.334175691674506,0.16655712681286755,0.9483283849489159
14,479227,7523221.940002943,8170983.066666681,1332582.1599999953,17.05033953985623,2.7806909043104735,15.698660426067278,0.163087127843433,0.9207242113490282
15,490776,7678842.960003158,8403647.216666663,1346680.1900000041,17.12318291168815,2.7439813479061814,15.646329404867307,0.16024949111728296,0.9137512275353461
16,463957,7702528.230002968,8079068.466666639,1302109.58,17.413399230244696,2.806530734529278,16.601814888024037,0.1611707569223312,0.9533931123102576
17,517794,8240654.3600037545,8778381.950000001,1353262.8300000022,16.953425396972545,2.6135158576576827,15.91492825332807,0.15415857246904163,0.9387441110378836
18,575604,8798321.260004673,9040729.750000047,1431080.7899999947,15.70650959687571,2.4862245397877616,15.28537199186363,0.1582926190222628,0.9731870660114166
19,543213,8264167.070003884,8077682.75,1409534.1600000013,14.870194104338445,2.59480932893727,15.213492810378035,0.17449734083701188,1.0230863634752039
20,481646,7434478.710002407,6921805.600000004,1375445.3400000012,14.371147274139107,2.855718390685278,15.435566183467541,0.19871192857539952,1.0740663837774356
21,475070,7636417.840002589,6912083.816666663,1456747.7999999989,14.549611250271882,3.0663855852821666,16.07430029259391,0.21075378115170373,1.1047924247662313
22,439444,7131375.920001919,6445970.466666692,1383853.540000002,14.668468488969452,3.149101000354998,16.22817906263806,0.21468505745661806,1.106330839844766
23,342790,5624547.550000194,5020153.749999994,1117727.5900000005,14.644983080019822,3.260677353481725,16.408143615625296,0.2226480792545451,1.12039348396455
